,bin,time(ms),color change & not first & no update & correct,color change & not first & update & correct,
208278119,39,958,4.1605,4.1636,
208278119,40,984,4.1624,4.1815,
208278119,41,1009,4.1715,4.184,
208278119,42,1034,4.1681,4.1852,
208278119,43,1059,4.1842,4.188,
208278119,44,1085,4.1882,4.1946,
208278119,45,1110,4.19,4.1837,
208278119,46,1135,4.1914,4.1965,
208278119,47,1160,4.1774,4.1941,
208278119,48,1185,4.1926,4.2015,
208278119,49,1211,4.1904,4.1814,
208278119,50,1236,4.1955,4.1981,
208278119,51,1261,4.1933,4.2175,
208278119,52,1286,4.2058,4.1948,
208278119,53,1312,4.2038,4.1985,
208278119,54,1337,4.1904,4.225,
208278119,55,1362,4.1681,4.2136,
208278119,56,1387,4.1853,4.2256,
208278119,57,1412,4.1808,4.2234,
208278119,58,1438,4.1757,4.201,
208278119,59,1463,4.1953,4.2231,
208278119,60,1488,4.1956,4.2051,
208278119,61,1513,4.1969,4.2049,
208278119,62,1538,4.2021,4.1835,
208278119,63,1564,4.1881,4.1603,
208278119,64,1589,4.1812,4.161,
208278119,65,1614,4.1933,4.1546,
208278119,66,1639,4.204,4.1658,
208278119,67,1665,4.182,4.1887,
208278119,68,1690,4.1808,4.1469,
208278119,69,1715,4.1869,4.1722,
208278119,70,1740,4.1889,4.1828,
208278119,71,1765,4.1818,4.1659,
208278119,72,1791,4.1839,4.1605,
208278119,73,1816,4.1829,4.1892,
208278119,74,1841,4.1665,4.1563,
208278119,75,1866,4.1897,4.1691,
208278119,76,1892,4.2205,4.165,
208278119,77,1917,4.2067,4.1738,
208278119,78,1942,4.2111,4.1686,
208278119,79,1967,4.1989,4.201,
208278119,80,1992,4.222,4.1434,
208278119,81,2018,4.2187,4.1555,
208278119,82,2043,4.2109,4.1503,
208278119,83,2068,4.2179,4.0994,
208278119,84,2093,4.2265,4.133,
208278119,85,2119,4.2098,4.1144,
208278119,86,2144,4.2162,4.1303,
208278119,87,2169,4.2405,4.1501,
208278119,88,2194,4.2635,4.1212,
208278119,89,2219,4.1983,4.1367,
208278119,90,2245,4.1955,4.1514,
208278119,91,2270,4.2111,4.1207,
208278119,92,2295,4.1613,4.0815,
208278119,93,2320,4.1513,4.0999,
208278119,94,2346,4.1474,4.1337,
208278119,95,2371,4.1423,4.1196,
208278119,96,2396,4.1302,4.1328,
208278119,97,2421,4.1149,4.1184,
208278119,98,2446,4.0931,4.0976,
208278119,99,2472,4.1011,4.1103,
208278119,100,2497,4.1002,4.1353,
208278119,101,2522,4.1001,4.1173,
208278119,102,2547,4.0995,4.1205,
208278119,103,2573,4.0882,4.142,
208278119,104,2598,4.0931,4.1112,
208278119,105,2623,4.0729,4.144,
208278119,106,2648,4.0783,4.1504,
208278119,107,2673,4.0591,4.1534,
208278119,108,2699,4.05,4.1743,
208278119,109,2724,4.0608,4.1294,
208278119,110,2749,4.0455,4.1349,
208278119,111,2774,4.0665,4.1377,
208278119,112,2800,4.0572,4.1287,
208278119,113,2825,4.0437,
208278119,114,2850,4.0744,
209049931,1,0,2.513,2.5004,
209049931,2,25,2.5035,2.4954,
209049931,3,51,2.5029,2.4918,
209049931,4,76,2.5056,2.4972,
209049931,5,101,2.5076,2.4965,
209049931,6,126,2.523,2.5046,
209049931,7,152,2.5167,2.5071,
209049931,8,177,2.5164,2.5165,
209049931,9,202,2.5232,2.5026,
209049931,10,227,2.5089,2.4972,
209049931,11,253,2.5218,2.5054,
209049931,12,278,2.5089,2.5075,
209049931,13,303,2.5212,2.5116,
209049931,14,328,2.5032,2.5104,
209049931,15,354,2.5098,2.51,
209049931,16,379,2.5107,2.5055,
209049931,17,404,2.5196,2.5055,
209049931,18,429,2.5205,2.507,
209049931,19,455,2.5059,2.505,
209049931,20,480,2.5096,2.5082,
209049931,21,505,2.5217,2.5093,
209049931,22,530,2.5055,2.4984,
209049931,23,556,2.5126,2.5042,
209049931,24,581,2.5193,2.5032,
209049931,25,606,2.5235,2.5068,
209049931,26,631,2.5197,2.5093,
209049931,27,657,2.5291,2.5136,
209049931,28,682,2.5255,2.51,
209049931,29,707,2.5228,2.5177,
209049931,30,732,2.5255,2.5266,
209049931,31,758,2.5297,2.5277,
209049931,32,783,2.5405,2.5147,
209049931,33,808,2.5375,2.5296,
209049931,34,833,2.5278,2.5444,
209049931,35,859,2.5378,2.5387,
209049931,36,884,2.5416,2.5327,
209049931,37,909,2.5452,2.5368,
209049931,38,934,2.5401,2.5405,
209049931,39,960,2.5529,2.5406,
209049931,40,985,2.5229,2.5434,
209049931,41,1010,2.5303,2.5537,
209049931,42,1035,2.5369,2.5527,
209049931,43,1061,2.5255,2.5576,
209049931,44,1086,2.5304,2.5605,
209049931,45,1111,2.5357,2.5454,
209049931,46,1136,2.5394,2.5553,
209049931,47,1162,2.5524,2.5674,
209049931,48,1187,2.5428,2.5533,
209049931,49,1212,2.539,2.5612,
209049931,50,1237,2.5435,2.5677,
209049931,51,1263,2.5443,2.5697,
209049931,52,1288,2.5272,2.5575,
209049931,53,1313,2.538,2.5589,
209049931,54,1338,2.5223,2.5612,
209049931,55,1364,2.5263,2.5628,
209049931,56,1389,2.5254,2.5605,
209049931,57,1414,2.5158,2.5615,
209049931,58,1439,2.5266,2.5498,
209049931,59,1465,2.5266,2.5349,
209049931,60,1490,2.5352,2.5435,
209049931,61,1515,2.5135,2.5459,
209049931,62,1540,2.5164,2.5483,
209049931,63,1566,2.5031,2.545,
209049931,64,1591,2.5182,2.5554,
209049931,65,1616,2.5106,2.5631,
209049931,66,1641,2.5106,2.55,
209049931,67,1667,2.5078,2.5352,
209049931,68,1692,2.5148,2.5406,
209049931,69,1717,2.5113,2.5388,
209049931,70,1742,2.5291,2.5648,
209049931,71,1768,2.5258,2.554,
209049931,72,1793,2.5338,2.5532,
209049931,73,1818,2.5441,2.5294,
209049931,74,1843,2.5435,2.551,
209049931,75,1869,2.5423,2.5476,
209049931,76,1894,2.5372,2.5526,
209049931,77,1919,2.538,2.55,
209049931,78,1944,2.5449,2.5418,
209049931,79,1970,2.5386,2.5485,
209049931,80,1995,2.5306,2.5525,
209049931,81,2020,2.5354,2.5442,
209049931,82,2045,2.5172,2.5459,
209049931,83,2071,2.521,2.5632,
209049931,84,2096,2.5163,2.5507,
209049931,85,2121,2.495,2.5452,
209049931,86,2146,2.4979,2.5459,
209049931,87,2172,2.4828,2.5277,
209049931,88,2197,2.4814,2.5465,
209049931,89,2222,2.5112,2.572,
209049931,90,2247,2.4933,2.5508,
209049931,91,2273,2.5037,2.5432,
209049931,92,2298,2.5068,2.5182,
209049931,93,2323,2.5106,2.5101,
209049931,94,2348,2.5052,2.5153,
209049931,95,2374,2.5006,2.5271,
209049931,96,2399,2.5047,2.529,
209049931,97,2424,2.5081,2.5272,
209049931,98,2449,2.4983,2.5237,
209049931,99,2475,2.5115,
209049931,100,2500,2.5122,
209154863,1,0,3.7265,3.6361,
209154863,2,25,3.7055,3.6454,
209154863,3,50,3.7141,3.6315,
209154863,4,76,3.6948,3.634,
209154863,5,101,3.6945,3.6437,
209154863,6,126,3.6905,3.623,
209154863,7,151,3.6868,3.6333,
209154863,8,176,3.6731,3.6219,
209154863,9,202,3.6869,3.611,
209154863,10,227,3.6775,3.6029,
209154863,11,252,3.6735,3.6119,
209154863,12,277,3.6734,3.5935,
209154863,13,302,3.6643,3.5995,
209154863,14,327,3.6666,3.6074,
209154863,15,353,3.6641,3.5934,
209154863,16,378,3.6557,3.5775,
209154863,17,403,3.657,3.5703,
209154863,18,428,3.6479,3.5747,
209154863,19,453,3.6517,3.5865,
209154863,20,479,3.6518,3.5838,
209154863,21,504,3.6427,3.5658,
209154863,22,529,3.6587,3.5644,
209154863,23,554,3.6413,3.5922,
209154863,24,579,3.6414,3.5855,
209154863,25,605,3.6392,3.5812,
209154863,26,630,3.643,3.5999,
209154863,27,655,3.6427,3.6033,
209154863,28,680,3.6373,3.6113,
209154863,29,705,3.6356,3.6246,
209154863,30,730,3.6371,3.6241,
209154863,31,756,3.6294,3.6156,
209154863,32,781,3.6575,3.6196,
209154863,33,806,3.636,3.6298,
209154863,34,831,3.6427,3.6351,
209154863,35,856,3.6511,3.6442,
209154863,36,882,3.6406,3.6333,
209154863,37,907,3.6468,3.65,
209154863,38,932,3.6466,3.6404,
209154863,39,957,3.6526,3.6509,
209154863,40,982,3.6488,3.6561,
209154863,41,1008,3.6412,3.6651,
209154863,42,1033,3.6466,3.677,
209154863,43,1058,3.6713,3.6711,
209154863,44,1083,3.6748,3.6728,
209154863,45,1108,3.6704,3.6829,
209154863,46,1133,3.67,3.6861,
209154863,47,1159,3.6851,3.6818,
209154863,48,1184,3.6813,3.7021,
209154863,49,1209,3.6718,3.6993,
209154863,50,1234,3.6807,3.6975,
209154863,51,1259,3.6722,3.712,
209154863,52,1285,3.6854,3.7202,
209154863,53,1310,3.6861,3.7216,
209154863,54,1335,3.6836,3.7266,
209154863,55,1360,3.6827,3.7444,
209154863,56,1385,3.6928,3.7455,
209154863,57,1411,3.6883,3.744,
209154863,58,1436,3.6986,3.7348,
209154863,59,1461,3.7013,3.7412,
209154863,60,1486,3.6938,3.7414,
209154863,61,1511,3.6867,3.7293,
209154863,62,1536,3.6825,3.7253,
209154863,63,1562,3.6806,3.7196,
209154863,64,1587,3.6869,3.7094,
209154863,65,1612,3.6722,3.6921,
209154863,66,1637,3.6685,3.6754,
209154863,67,1662,3.6589,3.6726,
209154863,68,1688,3.6412,3.6803,
209154863,69,1713,3.6524,3.6597,
209154863,70,1738,3.6481,3.6658,
209154863,71,1763,3.6506,3.6604,
209154863,72,1788,3.6407,3.6545,
209154863,73,1814,3.6445,3.6506,
209154863,74,1839,3.6393,3.6517,
209154863,75,1864,3.6209,3.6564,
209154863,76,1889,3.6342,3.6661,
209154863,77,1914,3.6463,3.6714,
209154863,78,1939,3.6397,3.6667,
209154863,79,1965,3.6607,3.672,
209154863,80,1990,3.6486,3.6779,
209154863,81,2015,3.6599,3.6805,
209154863,82,2040,3.6581,3.6771,
209154863,83,2065,3.6512,3.6728,
209154863,84,2091,3.6524,3.6735,
209154863,85,2116,3.6625,3.6719,
209154863,86,2141,3.6609,3.677,
209154863,87,2166,3.6575,3.6816,
209154863,88,2191,3.6622,3.6682,
209154863,89,2217,3.6635,3.6567,
209154863,90,2242,3.6741,3.6576,
209154863,91,2267,3.6584,3.6476,
209154863,92,2292,3.6462,3.6437,
209154863,93,2317,3.6586,3.643,
209154863,94,2342,3.6522,3.6502,
209154863,95,2368,3.663,3.6433,
209154863,96,2393,3.6516,3.6334,
209154863,97,2418,3.6582,3.6259,
209154863,98,2443,3.6615,3.6196,
209154863,99,2468,3.6603,3.62,
209154863,100,2494,3.6388,3.6284,
209154863,101,2519,3.6594,3.6282,
209154863,102,2544,3.6594,3.6299,
209154863,103,2569,3.6523,3.6287,
209154863,104,2594,3.6595,3.6238,
209154863,105,2620,3.6665,3.6267,
209154863,106,2645,3.6617,3.6257,
209154863,107,2670,3.6714,3.6169,
209154863,108,2695,3.6705,3.6368,
209154863,109,2720,3.6677,3.625,
209154863,110,2745,3.6646,3.6303,
209154863,111,2771,3.6782,3.6306,
209154863,112,2796,3.6837,3.6318,
209154863,113,2821,3.696,3.6342,
209154863,114,2846,3.7051,3.6503,
209154863,115,2871,3.7046,3.6383,
209154863,116,2897,3.7096,3.6481,
209154863,117,2922,3.7119,3.6502,
209154863,118,2947,3.7091,3.6422,
209154863,119,2972,3.7192,3.6587,
209154863,120,2997,3.7236,3.6561,
209154863,121,3023,3.7344,3.646,
209154863,122,3048,3.7258,3.6622,
209154863,123,3073,3.7416,3.6576,
209154863,124,3098,3.7342,3.6684,
209154863,125,3123,3.7374,3.6787,
209154863,126,3148,3.7544,3.6857,
209154863,127,3174,3.7718,3.6805,
209154863,128,3199,3.7723,3.6862,
209154863,129,3224,3.7789,3.6822,
209154863,130,3249,3.7679,3.6777,
209154863,131,3274,3.689,
209154863,132,3300,3.7017,
209154863,133,3325,3.705,
209154863,134,3350,3.7035,
211335542,1,0,2.9087,2.8795,
211335542,2,25,2.9284,2.9118,
211335542,3,50,2.9015,2.9093,
211335542,4,76,2.9076,2.8873,
211335542,5,101,2.8862,2.947,
211335542,6,126,2.9057,2.8737,
211335542,7,151,2.9202,2.877,
211335542,8,176,2.9158,2.8782,
211335542,9,202,2.8905,2.8779,
211335542,10,227,2.8996,2.879,
211335542,11,252,2.8496,2.8949,
211335542,12,277,2.8627,2.8716,
211335542,13,303,2.8925,2.8968,
211335542,14,328,2.8656,2.8743,
211335542,15,353,2.8756,2.8686,
211335542,16,378,2.8762,2.8683,
211335542,17,403,2.8636,2.8584,
211335542,18,429,2.8681,2.8503,
211335542,19,454,2.863,2.8801,
211335542,20,479,2.8945,2.8837,
211335542,21,504,2.8616,2.8466,
211335542,22,529,2.8843,2.8875,
211335542,23,555,2.8884,2.8626,
211335542,24,580,2.8762,2.8518,
211335542,25,605,2.8443,2.836,
211335542,26,630,2.8738,2.8382,
211335542,27,655,2.8471,2.8023,
211335542,28,681,2.8867,2.834,
211335542,29,706,2.848,2.8515,
211335542,30,731,2.8782,2.8723,
211335542,31,756,2.8445,2.8294,
211335542,32,782,2.8891,2.8811,
211335542,33,807,2.8552,2.9126,
211335542,34,832,2.8636,2.8884,
211335542,35,857,2.8764,2.8812,
211335542,36,882,2.893,2.884,
211335542,37,908,2.8939,2.8854,
211335542,38,933,2.8838,2.9001,
211335542,39,958,2.8859,2.8749,
211335542,40,983,2.8981,2.8808,
211335542,41,1008,2.8489,2.9081,
211335542,42,1034,2.8776,2.8392,
211335542,43,1059,2.891,2.8662,
211335542,44,1084,2.8893,2.8889,
211335542,45,1109,2.8903,2.882,
211335542,46,1134,2.8639,2.907,
211335542,47,1160,2.8761,2.939,
211335542,48,1185,2.8989,2.8845,
211335542,49,1210,2.9058,2.8928,
211335542,50,1235,2.8876,2.9308,
211335542,51,1261,2.8851,2.8901,
211335542,52,1286,2.8901,2.9331,
211335542,53,1311,2.8958,2.9043,
211335542,54,1336,2.889,2.9149,
211335542,55,1361,2.9012,2.8705,
211335542,56,1387,2.8801,2.8848,
211335542,57,1412,2.8845,2.9328,
211335542,58,1437,2.8835,2.9211,
211335542,59,1462,2.903,2.9207,
211335542,60,1487,2.8776,2.9385,
211335542,61,1513,2.8818,2.9134,
211335542,62,1538,2.8899,2.9237,
211335542,63,1563,2.909,2.8918,
211335542,64,1588,2.8607,2.8383,
211335542,65,1613,2.854,2.8723,
211335542,66,1639,2.8575,2.8818,
211335542,67,1664,2.8113,2.8728,
211335542,68,1689,2.8861,2.8705,
211335542,69,1714,2.8577,2.9052,
211335542,70,1739,2.8283,2.8601,
211335542,71,1765,2.8143,2.8576,
211335542,72,1790,2.8059,2.8572,
211335542,73,1815,2.8619,2.8524,
211335542,74,1840,2.8423,2.833,
211335542,75,1866,2.8321,2.8907,
211335542,76,1891,2.814,2.8579,
211335542,77,1916,2.8113,2.8447,
211335542,78,1941,2.8321,2.8987,
211335542,79,1966,2.8709,2.8686,
211335542,80,1992,2.8747,2.9378,
211335542,81,2017,2.8682,2.9241,
211335542,82,2042,2.8802,2.9258,
211335542,83,2067,2.9234,2.8912,
211335542,84,2092,2.9158,2.9095,
211335542,85,2118,2.9037,2.8793,
211335542,86,2143,2.9184,2.9027,
211335542,87,2168,2.8968,2.8959,
211335542,88,2193,2.9088,2.8756,
211335542,89,2218,2.8932,2.9109,
211335542,90,2244,2.9466,2.9113,
211335542,91,2269,2.9038,2.9523,
211335542,92,2294,2.8781,2.9073,
211335542,93,2319,2.8957,2.8893,
211335542,94,2345,2.8837,2.9284,
211335542,95,2370,2.9168,2.8903,
211335542,96,2395,2.8975,2.9102,
211335542,97,2420,2.8682,2.905,
211335542,98,2445,2.8777,2.9681,
211335542,99,2471,2.9218,2.9121,
211335542,100,2496,2.8975,2.8717,
211335542,101,2521,2.8823,2.8631,
211335542,102,2546,2.9325,2.8674,
211335542,103,2571,2.8961,2.8302,
211335542,104,2597,2.9169,2.854,
211335542,105,2622,2.8999,2.8786,
211335542,106,2647,2.9123,2.8405,
211335542,107,2672,2.9378,2.9087,
211335542,108,2697,2.8805,2.855,
211335542,109,2723,2.9045,2.8656,
211335542,110,2748,2.9127,2.8604,
211335542,111,2773,2.8629,2.8786,
211335542,112,2798,2.8819,2.8939,
211335542,113,2824,2.8942,2.8736,
211335542,114,2849,2.9208,2.8611,
211335542,115,2874,2.8823,
211335542,116,2899,2.8879,
211335542,117,2924,2.921,
211335542,118,2950,2.8989,
211335542,119,2975,2.9046,
211335542,120,3000,2.8889,
306346313,1,0,3.1954,3.2049,
306346313,2,25,3.1498,3.1789,
306346313,3,51,3.1675,3.1819,
306346313,4,76,3.1521,3.117,
306346313,5,102,3.1727,3.1224,
306346313,6,127,3.2087,3.0893,
306346313,7,153,3.2301,3.1529,
306346313,8,178,3.1628,3.1652,
306346313,9,204,3.1708,3.1655,
306346313,10,229,3.1635,3.099,
306346313,11,254,3.131,3.179,
306346313,12,280,3.1681,3.185,
306346313,13,305,3.1312,3.2197,
306346313,14,331,3.1119,3.1783,
306346313,15,356,3.1668,3.1784,
306346313,16,382,3.1929,3.2228,
306346313,17,407,3.1637,3.1062,
306346313,18,433,3.1709,3.1006,
306346313,19,458,3.0937,3.1769,
306346313,20,483,3.1393,3.1585,
306346313,21,509,3.0989,3.2335,
306346313,22,534,3.0924,3.2367,
306346313,23,560,3.1558,3.2289,
306346313,24,585,3.0562,3.1676,
306346313,25,611,3.0983,3.1427,
306346313,26,636,3.0625,3.1633,
306346313,27,662,3.0967,3.1582,
306346313,28,687,3.14,3.2345,
306346313,29,713,3.0883,3.105,
306346313,30,738,3.1242,3.188,
306346313,31,763,3.1714,3.103,
306346313,32,789,3.0737,3.1588,
306346313,33,814,3.0596,3.1377,
306346313,34,840,3.1106,3.0498,
306346313,35,865,3.0795,3.1761,
306346313,36,891,3.1278,3.2117,
306346313,37,916,3.154,3.1645,
306346313,38,942,3.1838,3.1382,
306346313,39,967,3.1012,3.1489,
306346313,40,992,3.0698,3.1428,
306346313,41,1018,3.1521,3.2056,
306346313,42,1043,3.1361,3.2574,
306346313,43,1069,3.0832,3.2006,
306346313,44,1094,3.0964,3.1462,
306346313,45,1120,3.1113,3.1423,
306346313,46,1145,3.14,3.1395,
306346313,47,1171,3.1864,3.2408,
306346313,48,1196,3.1133,
306346313,49,1221,3.1602,
306346313,50,1247,3.147,
306346313,51,1272,3.1384,
306346313,52,1298,3.1902,
306346313,53,1323,3.1414,
306346313,54,1349,3.0269,
306346313,55,1374,3.1368,
306346313,56,1400,3.074,
306346313,57,1425,3.0087,
314919309,1,0,3.4105,3.4487,
314919309,2,25,3.4109,3.4299,
314919309,3,50,3.4054,3.4307,
314919309,4,76,3.4144,3.4458,
314919309,5,101,3.4166,3.4433,
314919309,6,126,3.4169,3.4493,
314919309,7,151,3.4227,3.4572,
314919309,8,177,3.4293,3.4534,
314919309,9,202,3.4349,3.4594,
314919309,10,227,3.4406,3.4589,
314919309,11,252,3.4423,3.4536,
314919309,12,277,3.4377,3.458,
314919309,13,303,3.4411,3.4545,
314919309,14,328,3.4381,3.4478,
314919309,15,353,3.4288,3.4389,
314919309,16,378,3.4257,3.4412,
314919309,17,404,3.4201,3.4346,
314919309,18,429,3.42,3.4271,
314919309,19,454,3.4147,3.4236,
314919309,20,479,3.4131,3.424,
314919309,21,504,3.4099,3.4263,
314919309,22,530,3.4057,3.4211,
314919309,23,555,3.4076,3.4194,
314919309,24,580,3.4029,3.422,
314919309,25,605,3.4032,3.4222,
314919309,26,630,3.402,3.4237,
314919309,27,656,3.409,3.4188,
314919309,28,681,3.4077,3.4271,
314919309,29,706,3.4091,3.4275,
314919309,30,731,3.4099,3.4272,
314919309,31,757,3.4111,3.441,
314919309,32,782,3.4149,3.4391,
314919309,33,807,3.4182,3.4448,
314919309,34,832,3.4216,3.45,
314919309,35,857,3.4189,3.452,
314919309,36,883,3.4219,3.457,
314919309,37,908,3.4215,3.4397,
314919309,38,933,3.4219,3.4448,
314919309,39,958,3.421,3.4434,
314919309,40,984,3.4294,3.4445,
314919309,41,1009,3.4314,3.445,
314919309,42,1034,3.4306,3.4478,
314919309,43,1059,3.4289,3.4443,
314919309,44,1084,3.4352,3.4545,
314919309,45,1110,3.4356,3.4481,
314919309,46,1135,3.4398,3.4448,
314919309,47,1160,3.435,3.4529,
314919309,48,1185,3.4397,3.4546,
314919309,49,1211,3.4457,3.4516,
314919309,50,1236,3.4414,3.4543,
314919309,51,1261,3.447,3.4497,
314919309,52,1286,3.4542,3.4558,
314919309,53,1311,3.4601,3.4558,
314919309,54,1337,3.4476,3.4562,
314919309,55,1362,3.4553,3.4489,
314919309,56,1387,3.4577,3.4544,
314919309,57,1412,3.4573,3.4574,
314919309,58,1438,3.455,3.4614,
314919309,59,1463,3.4552,3.4508,
314919309,60,1488,3.4536,3.4587,
314919309,61,1513,3.4542,3.4479,
314919309,62,1538,3.4568,3.4492,
314919309,63,1564,3.4606,3.4424,
314919309,64,1589,3.457,3.4502,
314919309,65,1614,3.463,3.4432,
314919309,66,1639,3.4616,3.445,
314919309,67,1664,3.4709,3.4486,
314919309,68,1690,3.4675,3.4481,
314919309,69,1715,3.4737,3.447,
314919309,70,1740,3.47,3.4408,
314919309,71,1765,3.4713,3.4506,
314919309,72,1791,3.4606,3.4384,
314919309,73,1816,3.4568,3.4358,
314919309,74,1841,3.4567,3.4321,
314919309,75,1866,3.445,3.4296,
314919309,76,1891,3.4403,3.431,
314919309,77,1917,3.4435,3.4314,
314919309,78,1942,3.4397,3.4236,
314919309,79,1967,3.4398,3.4245,
314919309,80,1992,3.4413,3.4201,
314919309,81,2018,3.4436,3.4117,
314919309,82,2043,3.4408,3.4067,
314919309,83,2068,3.4508,3.3961,
314919309,84,2093,3.4426,3.3979,
314919309,85,2118,3.4389,3.391,
314919309,86,2144,3.4321,3.3787,
314919309,87,2169,3.4313,3.3744,
314919309,88,2194,3.4308,3.3765,
314919309,89,2219,3.4237,3.3675,
314919309,90,2245,3.4273,3.3705,
314919309,91,2270,3.4245,3.3599,
314919309,92,2295,3.4218,3.3625,
314919309,93,2320,3.4282,3.3449,
314919309,94,2345,3.4283,3.3555,
314919309,95,2371,3.4261,3.3626,
314919309,96,2396,3.4312,3.3509,
314919309,97,2421,3.4314,3.3479,
314919309,98,2446,3.4271,3.3561,
314919309,99,2471,3.4313,3.3495,
